Team Name,University,SAR Score,Science Mission,Extreme Retrieval and Delivery Mission,Equipment Servicing Mission,Autonomous Navigation Mission,Penalties,Total
Michigan Mars Rover Team,University of Michigan,90.97,95,80,53,70,,388.97
Monash Nova Rover,Monash University,94.55,93,70,53,70,,380.55
Mars Rover Design Team,Missouri University of Science & Technology,94.71,96,80,58,42,,370.71
AGH Space Systems,AGH University of Science and Technology,91.1,100,50,16,84,,341.1
IMPULS,Politechnika Swietokrzyska,89.05,96,32,58,42,,317.05
ASTRA,University of Alabama in Huntsville,88.17,97,35,55,11.2,,286.37
Sooner Rover Team,University of Oklahoma,86.65,90,0,25,70,,271.65
Yonder Dynamics,University of California, San Diego,84.63,100,25,17.6,42,,269.23
BYU Mars Rover,Brigham Young University,91.55,91,15,18,53.2,,268.75
Mountaineer Robotics,West Virginia University,90.97,96,42.5,25.2,14,,268.67
R3,Ryerson University,90.8,79,35,5,39,,248.8
PCz Rover Team,Czestochowa University of Technology,92.18,61,45,42,0,,240.18
UIU Mars Rover,United International University,90.92,70,18.75,23,34,,236.67
Project Scorpio,Wroclaw University of Science and Technology,90.63,99,20,21,0,,230.63
Quantum Robotics,Instituto Tecnológico y de Estudios Superiores de Monterrey, campus Estado de México,86.44,79,15,22,11.2,,213.64
Northeastern University Mars Rover Team,Northeastern University,82.88,75,25,25,0,,207.88
Zeus,University of Sherbrooke,84.55,63,35,22,0,,204.55
Queen's Space Engineering Team,Queen's University,80.6,55,0,7,40,,182.6
MAVRIC,Iowa State University,82.04,57,25,16,0,,180.04
Project Kratos,BITS Pilani KK Birla Goa Campus,87.24,88,0,4,0,,179.24
Mars Rover Manipal,Manipal Academy of Higher Education,91.86,85,0,0,0,,176.86
Robocol,Universidad de los Andes,87.75,77,0,0,0,,164.75
Team Interplanetar,Bangladesh University of Engineering and Technology (BUET),88.67,70,5,0,0,,163.67
Yıldız Rover,Yıldız Technical University,83.63,78,0,0,0,,161.63
SC Robotics,Saddleback College,85.39,63,0,0,0,,148.39
Inferno DTU,Delhi Technological University,86.03,60,0,0,0,,146.03
MIST MONGOL BAROTA,Military Institute of Science and Technology,92.85,,,,,,92.85
Pharaohs Team,Military Technical College,90.69,,,,,,90.69
OzU Rover Team,Özyeğin University,90,,,,,,90
İTÜ Rover Team,Istanbul Technical University,89.96,,,,,,89.96
GTU Rover,Gebze Technical University,89.66,,,,,,89.66
BRACU Mongol-Tori,BRAC University,86.39,,,,,,86.39
AIUB Robotic Crew (ARC),American International University Bangladesh (AIUB),84.69,,,,,,84.69
METU ROVER,Middle East Technical University,84.65,,,,,,84.65
Team Anveshak,Indian Institute of Technology Madras,84.22,,,,,,84.22
Wisconsin Robotics,University Of Wisconsin Madison,80.17,,,,,,80.17
